cliente_id,region,dispositivo,canal_adquisicion,segmento,edad,meses_antiguedad,visitas_mes,compras_mes,tiempo_app_min,gasto_marketing,satisfaccion,usa_cupon,abandono,ticket_promedio,ingreso_generado
NR100000,Medellín,mobile,organico,recurrente,28.0,22,11,2,86.0,16.31,3.3,0,0,127300,393383
NR100001,Bucaramanga,mobile,email,premium,35.0,5,11,4,73.9,19.63,,0,0,162303,748266
NR100002,Cali,mobile,organico,nuevo,31.0,54,8,3,105.7,8.01,3.1,1,0,108442,571190
NR100003,Cali,desktop,organico,premium,35.0,19,8,3,112.0,13.37,5.0,0,0,122390,544487
NR100004,Bogotá,desktop,social_ads,nuevo,38.0,8,5,2,71.4,26.3,3.7,0,0,111043,349158
NR100005,Bogotá,desktop,email,premium,38.0,7,13,5,128.2,62.64,4.5,0,0,164955,1057221
NR100006,Bogotá,desktop,email,nuevo,27.0,21,12,3,109.4,67.84,2.9,1,0,172573,608388
NR100007,Barranquilla,desktop,paid_search,nuevo,24.0,36,1,0,38.2,64.82,3.8,1,0,83754,703
NR100008,Cali,mobile,organico,recurrente,57.0,15,8,1,87.0,11.71,3.0,0,0,90956,165771
NR100009,Cali,mobile,email,premium,30.0,19,11,0,86.9,12.88,3.3,1,0,205796,157333
NR100010,Bogotá,mobile,social_ads,nuevo,40.0,20,5,1,71.2,30.29,3.6,0,0,78653,122777
NR100011,Bucaramanga,desktop,organico,nuevo,20.0,55,6,1,62.2,16.62,2.8,0,0,141616,180831
NR100012,Barranquilla,mobile,referido,premium,31.0,27,14,4,107.9,35.25,3.5,0,0,72324,440609
NR100013,Bogotá,desktop,organico,recurrente,33.0,31,10,3,81.3,4.8,2.8,1,0,206857,826896
NR100014,Bogotá,mobile,referido,nuevo,38.0,7,9,0,25.1,12.28,4.1,0,1,112512,80040
NR100015,Bogotá,tablet ,email,recurrente,18.0,10,6,1,58.8,35.72,4.5,0,0,114872,242516
NR100016,Bogotá,mobile,social_ads,recurrente,35.0,9,10,2,80.2,15.71,5.0,0,1,204931,534403
NR100017,Medellín,mobile,referido,premium,24.0,12,6,0,34.5,25.29,4.5,1,0,154565,76667
NR100018,Medellín,desktop,email,recurrente,37.0,15,8,2,62.1,13.35,1.5,0,0,83965,280599
NR100019,Bogotá,desktop,organico,recurrente,25.0,18,4,0,63.2,13.93,3.5,0,0,129462,87779
NR100020,Cali,mobile,paid_search,premium,26.0,14,11,3,107.5,111.03,3.9,0,0,186591,724661
NR100021,Bogotá,mobile,organico,recurrente,32.0,9,11,6,69.7,6.14,5.0,1,0,128761,919738
NR100022,Bogotá,mobile,paid_search,nuevo,25.0,6,5,1,41.7,46.15,3.7,1,0,101826,165692
