id_cliente,edad,nivel_ingreso,visitas_mes,compras_mes,gasto_publicidad_dirigida,satisfaccion,miembro_premium,abandono,tipo_dispositivo,region,ingreso_anual
C000001,30.0,54.63,16,1,8.45,2.0,0,1,móvil,sur,409.44
C000002,30.0,43.33,9,1,8.74,3.0,0,0,móvil,este,393.98
C000003,38.0,28.28,17,2,7.35,3.0,0,0,móvil,sur,421.87
C000004,30.0,49.4,11,3,9.6,3.0,0,0,móvil,oeste,640.87
C000005,42.0,41.83,10,1,8.31,2.0,0,0,móvil,este,562.54
C000006,25.0,87.12,6,0,10.83,,0,0,escritorio,norte,18.78
C000007,38.0,25.05,19,2,10.32,3.0,0,0,móvil,este,94.58
C000008,27.0,24.48,10,1,7.33,2.0,0,0,escritorio,este,324.96
C000009,44.0,70.89,14,2,9.47,2.0,0,0,móvil,norte,1858.16
C000010,46.0,46.12,8,2,9.38,2.0,0,0,móvil,este,710.34
C000011,42.0,30.21,9,1,6.48,3.0,0,1,escritorio,sur,598.2
C000012,37.0,34.8,11,2,9.09,4.0,0,0,tablet,sur,426.15
C000013,33.0,39.61,19,2,8.93,4.0,0,0,móvil,este,1165.39
C000014,27.0,36.21,8,0,12.98,3.0,0,0,escritorio,norte,116.47
C000015,38.0,63.45,20,6,13.49,4.0,1,0,móvil,norte,3637.65
C000016,30.0,47.69,11,4,11.03,4.0,0,0,escritorio,oeste,1372.54
C000017,31.0,43.81,12,2,14.16,3.0,1,0,móvil,oeste,891.98
C000018,35.0,24.03,8,1,8.52,3.0,0,0,tablet,oeste,496.74
C000019,35.0,22.58,21,4,7.83,4.0,0,0,escritorio,oeste,1472.95
C000020,28.0,36.67,5,1,7.63,4.0,0,0,tablet,este,616.69
C000021,31.0,41.05,6,0,8.07,5.0,0,0,escritorio,este,0.0
C000022,35.0,33.47,16,0,8.55,3.0,0,0,móvil,sur,137.38
C000023,18.0,32.12,12,3,8.98,3.0,0,0,escritorio,este,920.71
C000024,39.0,39.67,10,0,15.69,4.0,0,0,móvil,norte,165.12
C000025,39.0,33.6,12,1,7.96,3.0,0,0,móvil,sur,196.72
C000026,29.0,26.87,18,6,7.03,5.0,0,0,móvil,este,1475.58
C000027,28.0,30.62,7,1,9.54,5.0,0,0,escritorio,norte,554.48
C000028,36.0,32.04,6,2,11.17,3.0,1,0,tablet,sur,360.17
C000029,51.0,20.48,11,2,254.70000000000002,5.0,1,0,móvil,norte,1324.18
C000030,22.0,31.8,11,2,9.8,4.0,0,1,escritorio,norte,325.69
C000031,31.0,55.92,10,0,8.21,2.0,0,0,móvil,oeste,223.72
C000032,37.0,35.8,6,2,12.93,3.0,1,0,tablet,sur,785.19
C000033,30.0,35.76,20,2,11.51,,1,0,móvil,sur,966.96
C000034,21.0,39.21,14,0,12.29,1.0,0,0,escritorio,oeste,0.0
C000035,31.0,22.28,15,3,8.97,3.0,0,0,móvil,sur,1802.85
C000036,36.0,16.27,13,3,9.33,4.0,0,0,móvil,este,1073.92
C000037,46.0,25.84,9,0,6.93,3.0,0,0,tablet,este,0.0
C000038,49.0,45.68,10,0,11.92,4.0,0,0,móvil,este,0.0
C000039,39.0,21.79,16,5,12.35,3.0,1,0,móvil,oeste,3424.65
C000040,43.0,33.36,14,4,8.28,4.0,0,1,móvil,sur,699.12
C000041,42.0,36.11,10,0,8.39,2.0,0,0,móvil,norte,327.28
C000042,29.0,79.29,11,2,9.83,3.0,0,0,tablet,este,996.78
C000043,22.0,73.94,16,0,10.84,2.0,0,0,móvil,norte,0.0
C000044,18.0,25.02,19,3,6.98,2.0,0,0,móvil,oeste,2468.21
C000045,29.0,101.61,14,1,10.96,3.0,0,0,móvil,oeste,363.28
C000046,31.0,59.34,8,0,16.41,3.0,0,0,móvil,oeste,78.25
C000047,26.0,35.85,10,1,10.61,2.0,0,0,escritorio,este,334.11
C000048,48.0,31.79,13,0,10.48,3.0,0,0,escritorio,oeste,121.89
C000049,32.0,45.07,4,0,8.0,3.0,0,0,escritorio,sur,497.86
C000050,39.0,46.06,8,1,10.09,3.0,0,1,tablet,oeste,0.0
C000051,27.0,34.39,13,2,7.06,3.0,0,1,móvil,oeste,483.54
C000052,48.0,32.36,7,0,7.23,3.0,0,0,escritorio,norte,16.09
C000053,19.0,48.53,20,3,8.97,2.0,0,0,móvil,este,2261.37
C000054,52.0,33.05,12,1,11.46,2.0,0,0,escritorio,sur,457.19
C000055,33.0,19.85,8,0,6.78,2.0,0,0,escritorio,este,250.09
C000056,37.0,40.52,17,4,10.4,3.0,0,0,móvil,este,1893.73
C000057,37.0,33.21,11,2,28.9,2.0,0,0,escritorio,sur,264.55
C000058,25.0,29.34,8,2,7.28,4.0,0,0,móvil,sur,773.0
C000059,47.0,38.08,9,0,6.78,4.0,0,0,escritorio,sur,17.02
C000060,35.0,26.81,14,3,13.78,4.0,1,0,móvil,este,1510.21
C000061,36.0,29.87,15,2,7.46,2.0,0,0,móvil,sur,55.85
C000062,39.0,37.13,16,4,7.18,4.0,0,0,escritorio,este,1766.19
C000063,18.0,34.85,16,1,7.53,4.0,0,0,móvil,este,574.47
C000064,26.0,35.89,10,1,6.99,2.0,0,0,tablet,este,336.25
C000065,38.0,41.78,15,6,13.35,3.0,1,0,móvil,oeste,3731.8
C000066,25.0,31.19,12,2,9.04,2.0,0,0,escritorio,sur,227.35
C000067,18.0,43.75,11,3,10.34,3.0,0,0,escritorio,este,937.07
C000068,22.0,24.36,9,1,11.45,3.0,0,0,móvil,este,465.47
C000069,37.0,32.02,13,2,12.77,2.0,1,0,móvil,norte,909.34
C000070,53.0,50.77,9,1,12.07,3.0,1,0,móvil,norte,728.79
C000071,40.0,35.41,13,5,10.06,3.0,0,0,tablet,este,2647.25
C000072,30.0,48.57,10,1,7.94,3.0,0,0,móvil,este,57.06
C000073,38.0,24.88,16,3,6.77,2.0,0,0,móvil,norte,1400.45
C000074,32.0,65.57,15,1,9.7,4.0,0,0,escritorio,oeste,405.12
C000075,37.0,30.28,17,2,12.01,3.0,1,0,móvil,sur,715.39
C000076,19.0,43.73,14,1,10.48,3.0,0,0,móvil,oeste,743.52
C000077,33.0,35.95,11,1,9.97,3.0,0,0,móvil,norte,938.34
C000078,19.0,38.96,15,1,7.26,5.0,0,0,móvil,sur,1044.3
C000079,32.0,17.26,11,0,8.85,3.0,0,0,escritorio,sur,380.94
