transaction_id,date,customer_id,region,channel,category,product_id,units,unit_price,discount_pct,payment_method,delivery_days,returned,satisfaction_score
1,2025-02-27,1761,Centro,Online,Beauty,3031,1,48.83,0.05,Wallet,2,False,8.6
2,2025-11-04,1683,Centro,Store,Grocery,40,2,15.28,0.0,Cash,0,False,9.5
3,2025-09-21,1108,Norte,Store,Electronics,1012,3,153.86,0.0,Card,0,False,8.1
4,2025-07-05,1178,Sur,Store,Grocery,29,3,13.98,0.2,Wallet,0,False,8.7
5,2025-07-03,1892,Norte,Store,Electronics,1018,5,104.79,0.2,Card,0,False,7.6
6,2025-12-05,1853,Norte,Store,Beauty,3019,2,56.67,0.0,Cash,0,False,
7,2025-02-26,1832,Norte,Store,Sports,4006,3,19.06,0.1,Card,0,False,8.9
8,2025-10-07,1234,Sur,Online,Home,2037,1,35.1,0.1,Card,7,False,7.6
9,2025-04-09,1764,Sur,Store,Grocery,23,1,25.1,0.0,Card,0,False,8.4
10,2025-03-01,1091,Centro,Online,Beauty,3049,3,92.42,0.1,Card,2,False,
11,2025-08-06,1216,Sur,Online,Home,2030,2,39.14,0.2,Card,3,False,5.7
12,2026-01-17,1748,Norte,Store,Electronics,1010,4,35.12,0.15,Cash,0,False,9.8
13,2025-10-21,1925,Sur,Online,Electronics,1036,5,87.93,0.05,Wallet,1,False,7.1
14,2025-10-30,1983,Norte,Store,Electronics,1003,1,38.06,0.1,Cash,0,False,9.3
15,2025-10-14,2472,Centro,Online,Grocery,38,1,27.22,0.15,Cash,5,False,7.7
16,2025-11-08,2281,Norte,Online,Home,2019,3,34.99,0.1,Card,6,False,8.1
17,2025-08-01,1569,Sur,Online,Grocery,2,1,34.53,0.2,Card,6,False,7.4
18,2025-03-13,2174,Sur,Store,Home,2026,2,32.89,0.15,Transfer,0,False,
19,2025-11-28,1143,Centro,Store,Electronics,1025,4,49.45,0.0,Wallet,0,False,7.0
20,2025-07-09,2285,Norte,Store,Electronics,1013,1,106.96,0.1,Card,0,False,9.8
21,2025-07-27,1579,Norte,Online,Grocery,6,4,31.64,0.0,Card,3,False,8.8
22,2025-06-10,2140,Centro,Store,Home,2031,1,44.56,0.15,Cash,0,False,8.8
23,2025-04-02,2455,Centro,Store,Electronics,1023,4,9.63,0.0,Transfer,0,False,9.1
