order_item_id,order_id,order_date,customer_id,product_id,channel_id,quantity,unit_price,discount_pct,revenue,cost,profit,delivery_days,returned,rating,signup_date,segment,age_group,region,country,city,category,subcategory,brand,product_name,channel,campaign,device,profit_margin,delivery_class,ticket_band
1,500000,2024-03-05,101566,2049,10,1,19.57,0.0,19.57,8.93,10.64,4,0,3.6,2023-08-04,Básico,25-34,Andina,Colombia,Cali,Libros,Ficción,Río,Ficción Río 258,Email,Influencers,Desktop,0.5437,Normal (4-7d),Bajo
2,500000,2024-03-05,101566,2051,10,3,58.47,0.0,175.41,110.61,64.8,5,0,3.9,2023-08-04,Básico,25-34,Andina,Colombia,Cali,Moda,Zapatos,CaliCo,Zapatos CaliCo 396,Email,Influencers,Desktop,0.3694,Normal (4-7d),Muy alto
3,500000,2024-03-05,101566,2021,10,3,29.69,0.0,89.07,43.78,45.29,2,0,4.7,2023-08-04,Básico,25-34,Andina,Colombia,Cali,Moda,Zapatos,Nova,Zapatos Nova 642,Email,Influencers,Desktop,0.5085,Rápido (<=3d),Alto
4,500001,2025-08-29,100443,2004,15,2,29.52,0.0,59.04,31.68,27.36,5,0,3.8,2024-10-02,Básico,25-34,Andina,Perú,Cusco,Hogar,Cocina,Andes,Cocina Andes 691,Orgánico,Seasonal,Mobile,0.4634,Normal (4-7d),Medio
5,500001,2025-08-29,100443,2041,15,3,59.68,0.05,179.04,110.55,68.49,1,0,4.2,2024-10-02,Básico,25-34,Andina,Perú,Cusco,Moda,Accesorios,Pampa,Accesorios Pampa 189,Orgánico,Seasonal,Mobile,0.3825,Rápido (<=3d),Muy alto
6,500002,2025-09-21,101229,2027,11,1,61.73,0.0,61.73,37.94,23.79,3,0,4.2,2024-08-02,Básico,18-24,Andina,Colombia,Medellín,Deportes,Ciclismo,Pampa,Ciclismo Pampa 885,Afiliados,Always-on,Desktop,0.3854,Rápido (<=3d),Medio
7,500002,2025-09-21,101229,2043,11,1,19.41,0.0,19.41,8.18,11.23,5,0,3.5,2024-08-02,Básico,18-24,Andina,Colombia,Medellín,Libros,No ficción,MxTech,No ficción MxTech 173,Afiliados,Always-on,Desktop,0.5786,Normal (4-7d),Bajo
8,500002,2025-09-21,101229,2058,11,1,25.64,0.0,25.64,13.67,11.97,4,0,4.0,2024-08-02,Básico,18-24,Andina,Colombia,Medellín,Libros,Ficción,MxTech,Ficción MxTech 758,Afiliados,Always-on,Desktop,0.4668,Normal (4-7d),Bajo
9,500003,2024-05-18,101838,2024,21,3,138.19,0.13,414.57,300.7,113.87,1,0,3.6,2023-11-13,Premium,45-54,Centroamérica,Guatemala,Ciudad de Guatemala,Tecnología,Teclados,Andes,Teclados Andes 625,Referidos,Lanzamiento,Desktop,0.2747,Rápido (<=3d),Muy alto
10,500003,2024-05-18,101838,2007,21,2,23.91,0.13,47.82,19.03,28.79,2,0,4.5,2023-11-13,Premium,45-54,Centroamérica,Guatemala,Ciudad de Guatemala,Libros,No ficción,CaliCo,No ficción CaliCo 479,Referidos,Lanzamiento,Desktop,0.602,Rápido (<=3d),Medio
