order_id,cliente_id,producto_id,fecha,cantidad,precio_unitario,descuento_pct,canal,ingreso_neto
ORD000001,CLI0027,PRD053,2023-08-01,2,290.91,0.1,App Móvil,523.64
ORD000002,CLI0175,PRD039,2024-03-05,1,131.88,0.1,App Móvil,118.69
ORD000003,CLI0071,PRD076,2022-12-15,4,591.83,0.05,Online,2248.95
ORD000004,CLI0001,PRD026,2023-03-26,4,36.31,0.0,Online,145.24
ORD000005,CLI0004,PRD068,2023-02-01,1,461.98,0.0,App Móvil,461.98
ORD000006,CLI0047,PRD075,2022-04-23,1,168.7,0.05,Online,160.26
ORD000007,CLI0470,PRD062,2022-08-13,2,61.06,0.1,Online,109.91
ORD000008,CLI0386,PRD022,2023-03-16,3,373.28,0.0,Marketplace,1119.84
ORD000009,CLI0495,PRD026,2022-03-12,1,36.31,0.15,App Móvil,30.86
ORD000010,CLI0043,PRD078,2024-01-19,3,130.9,0.0,Online,392.7
ORD000011,CLI0499,PRD009,2022-05-11,3,49.35,0.2,App Móvil,118.44
ORD000012,CLI0300,PRD012,2022-07-12,4,592.23,0.0,App Móvil,2368.92
ORD000013,CLI0398,PRD078,2023-10-28,5,130.9,0.1,Marketplace,589.05
ORD000014,CLI0429,PRD065,2022-04-13,1,220.99,0.0,Tienda Física,220.99
ORD000015,CLI0132,PRD063,2023-12-26,3,240.04,0.1,Online,648.11
ORD000016,CLI0371,PRD017,2023-09-16,5,454.64,0.15,App Móvil,1932.22
ORD000017,CLI0324,PRD050,2022-03-14,1,441.75,0.0,Tienda Física,441.75
ORD000018,CLI0207,PRD068,2023-08-12,5,461.98,0.0,Tienda Física,2309.9
ORD000019,CLI0246,PRD034,2023-06-24,2,426.71,0.2,App Móvil,682.74
ORD000020,CLI0105,PRD019,2023-10-20,4,438.21,0.2,Tienda Física,1402.27
ORD000021,CLI0093,PRD003,2023-11-26,4,236.64,0.1,Marketplace,851.9
ORD000022,CLI0462,PRD056,2023-09-08,5,204.92,0.0,Marketplace,1024.6
ORD000023,CLI0366,PRD028,2023-05-17,1,141.52,0.0,Online,141.52
ORD000024,CLI0284,PRD069,2022-11-05,5,305.33,0.0,Online,1526.65
ORD000025,CLI0348,PRD027,2023-08-17,3,340.37,0.1,Online,919.0
ORD000026,CLI0203,PRD016,2024-02-15,4,89.04,0.0,Online,356.16
ORD000027,CLI0125,PRD078,2023-05-18,4,130.9,0.0,Online,523.6
ORD000028,CLI0472,PRD078,2023-07-19,3,130.9,0.15,Tienda Física,333.8
ORD000029,CLI0495,PRD062,2022-12-23,3,61.06,0.05,Online,174.02
ORD000030,CLI0108,PRD075,2023-10-18,5,168.7,0.05,App Móvil,801.32
ORD000031,CLI0401,PRD017,2024-03-29,3,454.64,0.15,Online,1159.33
ORD000032,CLI0222,PRD048,2022-06-13,5,40.26,0.05,Online,191.24
ORD000033,CLI0354,PRD022,2022-07-15,4,373.28,0.0,Online,1493.12
ORD000034,CLI0055,PRD049,2023-03-29,4,17.84,0.15,Online,60.66
ORD000035,CLI0240,PRD068,2023-01-26,3,461.98,0.2,Online,1108.75
ORD000036,CLI0063,PRD069,2023-05-01,2,305.33,0.0,App Móvil,610.66
ORD000037,CLI0408,PRD003,2022-02-21,4,236.64,0.0,Online,946.56
ORD000038,CLI0200,PRD043,2022-12-09,2,372.16,0.0,Marketplace,744.32
ORD000039,CLI0132,PRD080,2023-05-13,4,306.33,0.0,Online,1225.32
ORD000040,CLI0350,PRD054,2023-05-16,4,299.34,0.0,Online,1197.36
ORD000041,CLI0478,PRD029,2023-07-13,3,518.3,0.0,App Móvil,1554.9
