id_cliente,edad,nivel_ingreso,visitas_mes,compras_mes,gasto_publicidad_dirigida,satisfaccion,miembro_premium,abandono,tipo_dispositivo,region,ingreso_anual
C000001,28.0,45.41,14,2,11.72,2.0,0,0,móvil,sur,460.46
C000002,20.0,56.21,8,0,9.13,3.0,0,0,móvil,norte,306.31
C000003,29.0,29.91,9,1,9.51,3.0,0,0,tablet,este,681.47
C000004,42.0,37.19,14,0,9.39,4.0,0,0,móvil,este,0.0
C000005,29.0,21.07,9,2,16.12,3.0,1,0,escritorio,oeste,791.02
C000006,37.0,27.56,14,3,14.24,,1,0,escritorio,este,1748.06
C000007,35.0,52.76,8,1,12.78,4.0,1,0,tablet,norte,247.88
C000008,37.0,45.58,18,2,9.71,2.0,0,0,móvil,este,712.82
C000009,29.0,38.78,12,1,8.54,3.0,0,0,móvil,sur,338.65
C000010,27.0,35.93,19,1,6.56,3.0,0,0,móvil,norte,600.81
C000011,44.0,43.13,17,4,8.21,2.0,0,0,móvil,este,452.24
C000012,46.0,19.9,9,0,6.76,3.0,0,0,escritorio,oeste,0.0
C000013,33.0,25.55,19,4,10.1,3.0,0,1,móvil,oeste,695.42
C000014,40.0,56.0,11,4,14.58,4.0,1,0,móvil,este,2435.99
C000015,49.0,36.96,13,0,8.14,3.0,0,0,tablet,oeste,274.7
C000016,24.0,30.15,8,1,9.19,3.0,0,0,escritorio,oeste,434.69
C000017,36.0,49.05,17,3,12.04,3.0,0,0,móvil,este,1413.72
C000018,41.0,39.28,11,4,9.5,3.0,0,1,escritorio,sur,901.26
C000019,18.0,29.0,17,1,14.02,1.0,0,0,móvil,norte,112.13
C000020,35.0,28.45,16,1,9.15,3.0,0,0,móvil,norte,270.99
C000021,41.0,33.84,5,1,8.92,3.0,0,0,escritorio,sur,33.78
C000022,18.0,23.73,13,1,13.38,2.0,0,0,móvil,oeste,605.87
C000023,32.0,51.78,13,2,14.37,3.0,1,0,móvil,oeste,663.55
C000024,45.0,57.99,14,2,9.9,3.0,0,0,escritorio,norte,837.91
C000025,24.0,33.36,11,3,14.44,3.0,0,0,móvil,sur,1234.38
C000026,27.0,36.05,18,3,9.32,4.0,0,0,móvil,sur,638.93
C000027,25.0,58.31,7,1,7.33,4.0,0,0,escritorio,norte,346.0
C000028,36.0,47.7,14,2,8.03,2.0,0,0,móvil,norte,632.86
C000029,62.0,36.05,12,1,119.10000000000001,4.0,0,0,móvil,este,0.0
C000030,57.0,40.79,13,1,10.47,3.0,0,0,móvil,oeste,0.0
C000031,41.0,25.37,13,0,8.2,3.0,0,0,móvil,sur,14.62
C000032,37.0,28.89,15,2,10.96,2.0,0,0,móvil,este,673.68
C000033,39.0,28.92,17,0,6.84,,0,0,móvil,oeste,47.41
C000034,34.0,70.58,16,2,10.54,3.0,0,0,móvil,este,162.65
C000035,36.0,71.78,17,0,10.72,3.0,0,0,móvil,este,335.27
C000036,48.0,41.1,16,0,9.45,3.0,0,0,móvil,oeste,380.88
C000037,39.0,26.99,8,1,13.16,3.0,1,0,escritorio,norte,729.46
C000038,34.0,28.45,16,3,10.06,2.0,0,0,móvil,norte,959.79
C000039,35.0,37.05,13,4,7.62,3.0,0,0,escritorio,oeste,1416.85
C000040,48.0,44.12,5,0,12.73,3.0,0,0,escritorio,este,42.17
C000041,57.0,35.03,10,2,9.07,4.0,0,0,tablet,sur,574.95
C000042,27.0,61.46,6,3,12.28,3.0,1,0,móvil,sur,1470.7
C000043,31.0,42.6,16,6,14.43,4.0,1,0,móvil,norte,2512.7
C000044,36.0,50.46,16,3,8.49,3.0,0,0,móvil,sur,97.32
C000045,32.0,34.42,14,2,8.69,3.0,0,0,móvil,oeste,1244.5
C000046,58.0,36.89,6,0,8.17,2.0,0,0,móvil,norte,0.0
C000047,38.0,49.27,12,0,7.65,2.0,0,1,escritorio,oeste,0.0
C000048,48.0,55.36,16,2,8.15,2.0,0,0,móvil,oeste,1092.07
C000049,34.0,45.46,9,0,10.32,3.0,0,0,escritorio,norte,18.62
C000050,19.0,44.69,11,1,10.73,4.0,0,0,escritorio,norte,208.68
C000051,18.0,54.8,16,1,10.13,2.0,0,1,móvil,este,0.0
C000052,35.0,18.07,11,1,12.68,2.0,1,0,tablet,sur,472.08
C000053,40.0,17.46,11,1,11.76,3.0,0,0,móvil,sur,202.49
C000054,55.0,33.11,8,0,8.97,3.0,0,0,tablet,este,308.75
C000055,31.0,52.24,16,1,8.26,2.0,0,0,móvil,sur,354.33
C000056,44.0,56.32,8,0,8.18,2.0,0,1,móvil,norte,311.74
C000057,35.0,43.54,9,0,7.43,3.0,0,0,móvil,oeste,11.56
C000058,26.0,34.67,11,3,10.01,3.0,0,0,escritorio,norte,2051.31
C000059,35.0,46.02,8,1,11.72,4.0,0,1,escritorio,oeste,0.0
C000060,32.0,31.58,16,2,8.9,2.0,0,1,móvil,este,44.35
C000061,47.0,25.51,17,4,8.26,4.0,0,0,móvil,este,1208.71
C000062,26.0,39.64,10,2,9.41,3.0,0,0,tablet,norte,947.85
C000063,42.0,52.96,8,2,12.0,2.0,1,1,móvil,sur,914.74
C000064,39.0,72.45,19,1,14.52,5.0,0,0,móvil,oeste,824.82
C000065,37.0,10.19,13,1,10.76,4.0,0,0,móvil,este,0.0
C000066,43.0,33.21,16,2,7.46,3.0,0,0,móvil,norte,608.48
C000067,46.0,31.61,11,1,10.11,3.0,0,0,móvil,oeste,200.85
C000068,47.0,37.47,20,5,10.96,2.0,1,0,móvil,oeste,4514.95
C000069,39.0,52.77,14,0,9.56,2.0,0,1,móvil,norte,0.0
C000070,30.0,24.43,9,1,10.9,3.0,1,0,escritorio,sur,497.53
C000071,18.0,34.76,20,3,13.5,2.0,0,0,móvil,este,1394.63
C000072,39.0,44.32,8,1,8.44,3.0,0,0,móvil,oeste,543.59
C000073,21.0,47.12,12,3,9.29,2.0,0,0,móvil,este,1835.3
C000074,30.0,31.28,11,0,8.61,1.0,0,1,móvil,este,193.7
C000075,27.0,49.22,21,5,11.93,3.0,1,0,móvil,norte,5485.28
C000076,31.0,55.0,8,2,14.46,4.0,1,0,escritorio,sur,991.28
C000077,18.0,55.09,14,3,19.56,4.0,1,0,móvil,norte,923.89
C000078,36.0,44.68,11,3,11.35,3.0,1,0,escritorio,oeste,1666.37
C000079,26.0,47.13,22,4,10.22,3.0,0,1,móvil,sur,0.0
C000080,44.0,39.78,11,1,8.98,3.0,0,0,móvil,sur,812.68
C000081,41.0,34.21,16,1,10.46,3.0,0,0,móvil,sur,459.64
C000082,37.0,36.31,13,1,13.86,3.0,0,0,móvil,norte,336.16
C000083,24.0,32.97,8,1,11.41,3.0,1,0,escritorio,oeste,330.4
C000084,23.0,33.44,12,1,7.75,3.0,0,0,escritorio,norte,126.92
C000085,43.0,48.11,13,3,7.67,3.0,0,0,escritorio,norte,998.44
C000086,40.0,58.92,22,3,9.59,4.0,0,0,móvil,norte,1884.54
C000087,33.0,48.11,12,1,10.21,4.0,0,0,móvil,sur,471.36
C000088,44.0,21.63,8,0,7.93,3.0,0,0,móvil,oeste,0.0
C000089,24.0,34.31,16,3,7.37,3.0,0,0,móvil,oeste,1040.23
C000090,37.0,26.43,12,2,11.74,3.0,0,1,móvil,este,299.3
C000091,40.0,55.16,12,2,10.83,4.0,0,0,móvil,norte,1017.47
C000092,29.0,31.07,10,3,7.13,3.0,0,0,móvil,oeste,1436.07
C000093,18.0,27.2,14,1,10.6,4.0,1,0,escritorio,norte,421.17
C000094,44.0,23.87,10,0,10.75,2.0,0,0,tablet,sur,34.02
C000095,28.0,32.68,13,0,9.22,4.0,0,0,móvil,norte,279.78
C000096,31.0,21.58,9,1,7.72,2.0,0,0,móvil,este,0.0
