week,customer_id,region,segment,channel,device,age,income_usd,is_premium,temperature_c,ice_cream_sales,drownings,marketing_spend_usd,sessions,pages_viewed,time_on_site_sec,discount_pct,converted,orders,avg_order_value_usd,revenue_usd,delivery_time_days,support_tickets,satisfaction_1_5,churn_risk
2025-01-06,72,Centro,SMB,Social,Desktop,39,19225.68,0,29.94,706,9.88,105.04,13,37,850,24.52,0,0,85.74,0.0,4.05,0,4,0.5613
2025-01-06,120,Sur,SMB,Paid Search,Mobile,30,34497.1,0,25.09,587,8.07,163.22,11,41,839,26.68,0,0,24.32,0.0,3.04,0,3,0.6581
2025-01-06,124,Occidente,SMB,Email,Mobile,25,17252.23,0,26.67,525,9.16,64.98,13,43,1346,12.39,0,0,99.69,0.0,4.26,1,3,0.7726
2025-01-06,148,Centro,SMB,Orgánico,Mobile,37,48057.44,0,24.44,600,6.04,62.89,12,40,1216,11.73,0,0,58.74,0.0,3.54,1,3,0.6644
2025-01-06,195,Occidente,Enterprise,Social,Desktop,18,34162.57,0,26.39,577,8.63,365.01,18,81,2303,18.84,0,0,101.24,0.0,3.25,1,3,0.6749
2025-01-06,210,Occidente,SMB,Orgánico,Mobile,20,68462.98,0,25.77,581,8.63,72.25,11,40,241,29.15,0,0,58.72,0.0,2.88,0,3,0.8111
2025-01-06,211,Sur,Enterprise,Orgánico,Desktop,19,42259.99,0,23.82,611,6.48,197.95,16,40,784,12.56,0,0,81.88,0.0,5.25,0,3,0.7442
2025-01-06,233,Oriente,Enterprise,Paid Search,Mobile,20,62186.97,0,29.31,621,7.17,425.54,17,52,1010,0.0,0,0,93.84,0.0,1.92,1,3,0.8591
2025-01-06,248,Norte,SMB,Paid Search,Mobile,36,32220.6,0,29.64,683,7.18,85.28,7,29,334,10.35,0,0,74.5,0.0,1.87,0,3,0.6352
2025-01-06,250,Norte,SMB,Orgánico,Desktop,28,40734.66,0,22.57,588,6.41,45.06,6,20,479,11.48,0,0,80.27,0.0,2.04,1,3,0.6596
2025-01-06,292,Centro,SMB,Paid Search,Mobile,36,30040.46,0,25.81,627,7.54,119.65,10,45,878,13.49,0,0,92.69,0.0,1.53,1,3,0.7408
2025-01-06,303,Oriente,SMB,Email,Mobile,36,32695.77,0,21.71,499,8.03,23.53,10,25,649,19.29,0,0,102.43,0.0,5.53,0,3,0.7643
2025-01-06,309,Norte,SMB,Email,Mobile,42,33845.04,0,27.07,605,6.64,59.24,6,18,281,11.82,0,0,88.54,0.0,5.14,0,3,0.7749
2025-01-06,343,Centro,SMB,Paid Search,Desktop,18,54106.46,0,23.52,546,7.32,41.8,9,17,463,16.83,0,0,106.37,0.0,1.58,1,3,0.6675
2025-01-06,360,Centro,SMB,Paid Search,Mobile,38,32494.91,0,28.46,638,9.55,98.07,10,32,1149,10.41,0,0,129.29,0.0,3.92,0,2,0.7356
2025-01-06,377,Occidente,Enterprise,Paid Search,Tablet,19,53238.37,0,26.65,656,7.41,493.81,23,74,2381,13.22,0,0,38.28,0.0,4.23,0,3,0.5621
2025-01-06,403,Centro,SMB,Orgánico,Tablet,37,79293.93,0,25.9,586,8.26,91.8,6,20,609,16.04,0,0,100.26,0.0,6.17,1,2,0.8871
2025-01-06,409,Norte,SMB,Orgánico,Mobile,48,28375.51,0,22.28,590,6.38,54.83,5,20,765,8.59,0,0,122.42,0.0,2.69,0,3,0.7685
2025-01-06,423,Sur,SMB,Paid Search,Mobile,18,24108.5,0,26.37,647,5.93,196.41,13,48,1149,14.34,0,0,93.66,0.0,4.12,0,2,0.7903
2025-01-06,427,Norte,SMB,Referidos,Tablet,19,29326.06,1,24.02,563,8.57,0.0,3,3,154,16.37,1,1,117.37,117.37,1.0,1,4,0.448
2025-01-06,442,Norte,SMB,Orgánico,Mobile,41,40433.4,1,26.04,637,7.57,60.94,11,35,869,20.28,0,0,140.85,0.0,0.5,1,3,0.6539
2025-01-06,462,Sur,Enterprise,Orgánico,Mobile,41,34609.64,0,24.37,591,8.62,226.53,14,62,1625,13.97,0,0,81.34,0.0,3.67,0,3,0.7021
2025-01-06,477,Sur,SMB,Paid Search,Mobile,41,25560.1,1,26.48,578,7.99,135.33,13,45,1238,13.28,0,0,87.29,0.0,5.22,1,3,0.7565
2025-01-06,479,Occidente,SMB,Referidos,Tablet,49,29948.36,0,26.63,595,7.09,103.71,11,36,1066,17.44,1,1,74.52,74.52,3.42,1,2,0.9085
2025-01-06,499,Occidente,Enterprise,Social,Desktop,18,82705.7,0,27.27,621,9.24,362.04,20,58,839,4.09,0,0,76.56,0.0,2.27,0,4,0.3622
2025-01-06,553,Norte,SMB,Orgánico,Desktop,33,47054.79,0,26.05,653,7.65,33.45,2,13,372,13.0,0,0,58.89,0.0,0.63,0,5,0.3436
2025-01-06,566,Norte,SMB,Paid Search,Mobile,54,28126.74,0,26.6,675,5.84,111.31,9,29,621,3.31,0,0,128.59,0.0,1.82,0,4,0.4765
2025-01-06,593,Occidente,SMB,Orgánico,Desktop,35,40923.71,0,25.33,639,6.82,93.23,8,16,291,1.47,0,0,109.83,0.0,1.66,0,3,0.6196
2025-01-06,620,Centro,SMB,Social,Tablet,30,38034.61,0,25.58,627,7.37,117.12,5,17,501,21.63,0,0,84.26,0.0,2.26,1,4,0.5663
2025-01-06,700,Norte,SMB,Social,Desktop,34,34541.02,0,24.34,580,8.66,66.39,4,14,459,11.4,0,0,100.86,0.0,2.21,0,4,0.3796
2025-01-06,701,Sur,Enterprise,Social,Desktop,18,45038.4,1,25.85,483,7.97,385.9,19,53,1087,17.24,0,0,108.02,0.0,3.82,0,4,0.5059
2025-01-06,717,Norte,Enterprise,Orgánico,Mobile,51,53160.53,0,27.77,692,7.96,261.76,13,48,1191,16.73,0,0,107.07,0.0,1.74,1,4,0.7665
2025-01-06,733,Sur,SMB,Orgánico,Desktop,27,42333.57,1,25.1,630,7.88,78.11,4,17,487,0.0,0,0,209.35,0.0,2.46,0,4,0.4567
2025-01-06,751,Oriente,SMB,Paid Search,Desktop,42,27349.74,0,25.64,560,6.1,44.13,6,20,584,24.04,0,0,109.83,0.0,5.93,0,3,0.7425
2025-01-06,797,Centro,Enterprise,Paid Search,Mobile,30,27775.47,0,26.43,619,6.93,506.72,28,103,2068,16.75,0,0,100.56,0.0,4.12,0,3,0.7379
2025-01-06,820,Sur,SMB,Email,Mobile,35,63524.5,1,22.83,588,6.15,114.43,10,42,1046,19.98,1,2,119.74,239.49,3.26,0,4,0.3378
2025-01-06,846,Occidente,SMB,Social,Desktop,43,22093.72,0,29.95,620,6.18,188.33,14,61,1673,18.19,0,0,67.65,0.0,3.35,0,3,0.7278
2025-01-06,884,Occidente,SMB,Orgánico,Mobile,23,38404.72,0,24.5,609,6.99,55.73,11,34,559,12.4,1,3,63.4,190.2,1.25,0,4,0.4615
2025-01-06,918,Centro,Enterprise,Orgánico,Mobile,44,28287.76,0,22.61,530,9.03,220.63,12,26,410,17.59,0,0,107.13,0.0,2.79,0,3,0.6464
2025-01-06,940,Occidente,SMB,Referidos,Mobile,43,72780.59,0,28.11,700,6.83,67.39,6,20,735,18.98,0,0,66.33,0.0,4.58,0,2,0.888
2025-01-06,979,Occidente,Enterprise,Paid Search,Desktop,46,35874.77,1,27.26,626,9.2,440.94,14,50,1643,15.71,0,0,123.87,0.0,3.18,0,4,0.5018
2025-01-06,980,Norte,SMB,Orgánico,Desktop,20,45735.72,0,21.46,512,7.06,54.04,2,8,214,8.07,0,0,100.97,0.0,4.84,0,2,0.8302
2025-01-06,1024,Norte,Enterprise,Email,Mobile,31,34455.42,0,25.09,580,7.58,339.14,16,54,978,9.69,0,0,80.31,0.0,4.55,0,3,0.6871
2025-01-06,1049,Oriente,SMB,Orgánico,Mobile,33,16953.11,0,24.17,643,6.78,43.87,7,24,574,19.6,0,0,104.39,0.0,4.5,0,3,0.6305
2025-01-06,1063,Centro,Enterprise,Orgánico,Mobile,27,29509.99,0,26.6,580,9.17,199.93,12,42,929,13.97,1,1,115.05,115.05,3.96,2,3,0.8295
2025-01-06,1101,Norte,SMB,Orgánico,Desktop,29,61110.72,0,27.64,653,8.68,73.48,8,16,535,6.14,0,0,108.59,0.0,2.89,1,3,0.7411
2025-01-06,1116,Oriente,Enterprise,Orgánico,Mobile,18,68154.21,0,28.56,620,8.03,219.29,17,47,1155,18.39,0,0,87.54,0.0,2.38,0,3,0.7301
2025-01-06,1129,Centro,SMB,Orgánico,Mobile,18,29309.96,0,23.84,511,9.86,20.96,3,4,20,25.47,0,0,112.95,0.0,2.01,1,3,0.5806
2025-01-06,1169,Centro,Enterprise,Email,Mobile,52,33081.62,0,26.41,607,8.75,253.73,14,49,1067,12.89,0,0,59.39,0.0,5.4,0,2,0.8451
2025-01-06,1190,Oriente,SMB,Orgánico,Mobile,26,71675.53,0,23.85,570,8.49,42.81,2,9,129,18.14,1,1,80.58,80.58,3.4,1,3,0.6934
2025-01-06,1203,Occidente,SMB,Paid Search,Desktop,38,19201.28,0,26.18,612,8.36,141.44,10,25,726,16.02,0,0,104.96,0.0,4.35,0,2,0.9298
2025-01-06,1213,Norte,Enterprise,Email,Desktop,26,17170.37,0,27.78,667,8.05,278.66,12,38,699,13.23,0,0,39.65,0.0,2.29,0,4,0.5021
2025-01-06,1245,Occidente,SMB,Orgánico,Tablet,55,40106.32,1,28.36,709,7.51,71.59,5,20,667,9.59,0,0,122.62,0.0,4.17,0,3,0.7454
2025-01-06,1250,Sur,SMB,Paid Search,Desktop,18,27919.57,0,25.32,631,9.55,88.48,11,26,567,7.48,1,1,113.88,113.88,5.93,2,2,0.9438
2025-01-06,1287,Centro,SMB,Paid Search,Tablet,23,32208.59,1,23.33,607,6.8,96.26,10,31,668,17.51,0,0,141.57,0.0,3.66,0,5,0.3679
2025-01-06,1329,Occidente,SMB,Referidos,Mobile,20,54355.77,0,22.42,555,7.45,131.8,9,19,345,8.11,0,0,108.63,0.0,4.03,1,3,0.6789
2025-01-06,1329,Sur,SMB,Orgánico,Mobile,31,79625.05,0,26.29,607,6.81,30.97,3,11,204,4.95,1,1,81.62,81.62,6.03,2,3,0.8292
2025-01-06,1398,Centro,Enterprise,Referidos,Mobile,35,55433.35,0,26.05,681,7.79,201.92,13,52,1669,16.36,1,1,68.96,68.96,0.94,1,3,0.6361
2025-01-06,1437,Sur,SMB,Email,Mobile,30,40358.05,0,26.31,622,7.89,65.85,0,12,394,9.63,1,1,95.59,95.59,3.08,0,3,0.7173
2025-01-06,1449,Sur,SMB,Referidos,Desktop,18,17292.57,1,24.67,575,5.73,47.69,5,18,382,10.86,1,1,81.93,81.93,3.44,0,4,0.4715
2025-01-06,1451,Occidente,Enterprise,Paid Search,Desktop,34,25137.69,0,23.8,624,7.84,448.11,20,77,1747,15.38,0,0,110.55,0.0,3.64,1,2,0.8505
2025-01-06,1498,Sur,SMB,Orgánico,Mobile,43,29951.98,0,24.43,623,7.57,33.24,9,37,1017,5.31,0,0,71.29,0.0,3.02,0,3,0.7613
2025-01-06,1532,Centro,SMB,Orgánico,Mobile,31,60265.71,0,24.49,638,7.1,45.22,0,3,20,11.87,0,0,91.03,0.0,2.95,0,4,0.5297
2025-01-06,1551,Occidente,SMB,Social,Tablet,36,66952.26,0,22.26,549,8.45,58.16,5,19,428,14.63,0,0,115.61,0.0,3.37,1,2,0.8099
2025-01-06,1561,Norte,SMB,Orgánico,Mobile,33,42044.73,1,25.51,631,6.14,40.06,3,4,182,29.66,1,3,29.97,89.92,2.28,0,4,0.5454
2025-01-06,1580,Sur,SMB,Social,Mobile,47,52024.46,0,25.38,629,7.19,97.7,13,35,610,3.91,0,0,85.58,0.0,2.04,0,3,0.651
2025-01-06,1595,Centro,SMB,Orgánico,Mobile,33,27882.39,0,23.05,639,6.46,91.38,9,30,576,0.82,0,0,72.22,0.0,4.84,0,2,0.8263
2025-01-06,1614,Sur,SMB,Orgánico,Desktop,38,60542.1,0,22.96,553,7.32,107.23,7,19,386,15.09,0,0,110.17,0.0,2.45,0,4,0.527
2025-01-06,1626,Norte,Enterprise,Paid Search,Desktop,25,58205.32,1,30.06,675,7.22,467.58,17,64,1275,9.14,0,0,93.82,0.0,1.47,1,4,0.644
2025-01-06,1649,Norte,SMB,Paid Search,Mobile,18,21999.21,0,25.75,654,8.92,94.0,9,40,1080,9.91,0,0,95.6,0.0,2.29,0,3,0.7646
2025-01-06,1715,Norte,SMB,Orgánico,Mobile,32,32850.12,0,24.6,583,8.02,79.63,7,22,601,18.44,0,0,92.44,0.0,5.25,0,3,0.719
2025-01-06,1720,Centro,SMB,Orgánico,Mobile,52,32456.19,0,25.47,582,8.76,92.86,8,21,620,14.23,0,0,77.06,0.0,3.31,0,2,0.7201
2025-01-06,1723,Sur,Enterprise,Orgánico,Mobile,29,60526.11,0,22.68,573,3.99,221.73,12,36,793,18.74,0,0,73.16,0.0,2.37,0,4,0.4199
2025-01-06,1757,Norte,SMB,Orgánico,Desktop,24,85417.9,0,22.1,523,7.55,79.06,8,31,753,10.14,0,0,66.13,0.0,5.1,0,3,0.696
2025-01-06,1772,Norte,SMB,Paid Search,Desktop,40,18031.93,1,25.39,650,5.82,158.55,12,42,1191,19.06,0,0,127.73,0.0,2.9,1,4,0.626
2025-01-06,1871,Sur,Enterprise,Orgánico,Mobile,46,41134.88,1,25.28,605,8.95,215.49,17,67,2007,6.91,1,1,183.04,183.04,3.4,0,4,0.6885
2025-01-06,1952,Sur,Enterprise,Referidos,Mobile,47,22615.82,1,26.74,581,7.6,190.85,11,38,693,13.56,1,1,93.65,93.65,0.5,0,4,0.4979
2025-01-06,1970,Sur,SMB,Orgánico,Mobile,25,25376.41,0,28.08,678,9.21,54.1,1,1,25,10.87,0,0,112.57,0.0,3.41,0,2,0.7589
2025-01-06,1980,Occidente,SMB,Social,Mobile,51,46137.12,1,27.03,592,8.16,113.26,5,7,405,22.43,0,0,104.35,0.0,5.03,1,3,0.7544
2025-01-06,1980,Sur,SMB,Orgánico,Desktop,23,45319.99,0,27.57,692,7.97,64.03,10,26,505,25.7,0,0,47.91,0.0,1.78,1,4,0.489
2025-01-06,1998,Centro,SMB,Orgánico,Mobile,21,30098.5,0,26.42,620,5.68,101.2,11,24,1199,11.03,0,0,92.36,0.0,4.87,0,2,0.8931
2025-01-13,19,Norte,Enterprise,Orgánico,Desktop,22,35222.35,0,25.34,604,7.04,267.89,14,54,1938,7.32,0,0,71.84,0.0,3.59,1,2,0.8964
2025-01-13,49,Centro,SMB,Email,Mobile,45,20840.98,0,23.55,603,6.31,64.02,11,25,683,16.57,0,0,64.12,0.0,3.46,0,5,0.3895
2025-01-13,62,Sur,SMB,Orgánico,Desktop,18,16595.78,0,25.9,608,8.52,84.34,13,36,1031,9.95,0,0,86.32,0.0,1.64,0,4,0.5031
2025-01-13,103,Sur,SMB,Orgánico,Mobile,50,40054.98,0,21.4,485,6.83,49.71,1,1,154,17.49,0,0,92.35,0.0,2.19,0,3,0.6867
2025-01-13,106,Norte,SMB,Paid Search,Desktop,32,21591.56,0,24.31,601,6.55,110.66,10,48,616,16.24,0,0,80.42,0.0,4.63,1,4,0.5798
2025-01-13,128,Oriente,SMB,Referidos,Desktop,43,13841.73,0,26.86,598,4.95,65.77,3,16,362,17.51,1,1,63.52,63.52,2.79,0,3,0.7148
2025-01-13,148,Centro,SMB,Orgánico,Mobile,42,62686.76,0,29.35,735,9.01,28.51,8,29,633,7.4,0,0,98.67,0.0,2.02,0,3,0.6201
2025-01-13,157,Occidente,SMB,Orgánico,Desktop,21,23540.97,0,27.45,620,6.48,0.0,3,10,226,0.0,0,0,94.09,0.0,0.87,1,4,0.4448
2025-01-13,209,Centro,SMB,Referidos,Desktop,29,37314.46,0,25.67,569,7.81,51.45,5,13,124,7.96,0,0,96.17,0.0,1.72,1,3,0.8297
2025-01-13,210,Sur,SMB,Orgánico,Tablet,37,33431.42,0,28.38,667,7.25,0.0,0,1,20,19.72,0,0,90.3,0.0,0.67,0,4,0.443
2025-01-13,220,Oriente,Enterprise,Paid Search,Mobile,26,42956.66,0,21.26,494,5.9,427.6,19,83,2861,17.49,0,0,120.02,0.0,4.36,0,2,0.8508
2025-01-13,240,Centro,SMB,Paid Search,Desktop,37,23745.79,0,26.32,584,7.68,141.51,18,54,1907,8.06,0,0,80.19,0.0,4.06,0,2,0.8674
2025-01-13,253,Centro,SMB,Paid Search,Mobile,21,61446.34,0,27.28,601,8.73,140.62,13,50,1631,11.29,0,0,105.63,0.0,2.42,0,3,0.6507
2025-01-13,270,Sur,SMB,Referidos,Desktop,25,22861.03,0,27.29,601,6.26,0.0,1,1,27,10.34,0,0,84.78,0.0,0.98,0,4,0.2524
2025-01-13,360,Centro,SMB,Social,Mobile,18,34939.78,0,30.93,686,6.76,144.56,9,28,487,0.0,0,0,21.78,0.0,5.88,0,3,0.8106
