ID_Pedido,Fecha_pedido,ID_Cliente,Segmento_Cliente,Pais,Region,Ciudad,Categoria_Producto,Producto,Canal,Campaña,Estación,Unidades,Descuento_pct,Ingresos,Costo,Ganancia
ORD-202404-00000,12/04/2024,CLI-8595,Estandar,Peru,Costa,Lima,Electronica,Tablet,Online,Temporada baja,Otoño,1,0.09137185797457592,374.18619605575805,268.53329877740913,105.65289727834892
ORD-202503-00001,11/03/2025,CLI-2356,Estandar,Colombia,Andina,Medellín,Hogar,Aspiradora,Online,Siempre activo,Otoño,1,0.047964013067806996,215.6190827233116,148.70377775652472,66.91530496678689
ORD-202409-00002,27/09/2024,CLI-1391,Premium,Mexico,Centro,CDMX,Electronica,Parlante,Online,Siempre activo,Primavera,2,0.07377045226831047,303.3900112288614,212.9433146351498,90.44669659371161
ORD-202404-00003,16/04/2024,CLI-6264,Basico,Colombia,Andina,Bogotá,Electronica,Audifonos,Online,Siempre activo,Otoño,1,0.10239174913447563,103.46700018032226,71.84744675940516,31.6195534209171
ORD-202403-00004,12/03/2024,CLI-5613,Estandar,Peru,Sierra,Arequipa,Hogar,Licuadora,Online,Black Friday,Otoño,1,0.18285890722136797,76.84091071868077,49.84380181874408,26.99710889993669
ORD-202512-00005,01/12/2025,CLI-9795,Estandar,Peru,Sierra,Arequipa,Deportes,Guantes,Online,Siempre activo,Verano,4,0.02754065892454048,147.23256510415402,104.04722738775243,43.18533771640159
ORD-202401-00006,21/01/2024,CLI-2963,Basico,Peru,Sierra,Cusco,Moda,Zapatillas,Tienda,Black Friday,Verano,2,0.22346333829952833,166.28177072102503,101.09692467099414,65.18484605003088
ORD-202509-00007,06/09/2025,CLI-5607,Estandar,Colombia,Andina,Medellín,Deportes,Cuerda,Tienda,Siempre activo,Primavera,2,0.039814890755903394,35.2268740301288,23.845773516263566,11.381100513865231
ORD-202405-00008,01/05/2024,CLI-5418,Basico,Peru,Costa,Trujillo,Hogar,Aspiradora,Tienda,Black Friday,Otoño,2,0.2074497542754765,350.76300464312567,235.71522100197748,115.04778364114819
ORD-202504-00009,11/04/2025,CLI-1292,Premium,Peru,Costa,Trujillo,Electronica,Audifonos,Online,Temporada baja,Otoño,1,0.10604958715387765,146.6113449522368,100.03532919235559,46.576015759881216
ORD-202408-00010,02/08/2024,CLI-6409,Estandar,Peru,Sierra,Cusco,Electronica,Tablet,Tienda,Back to School,Invierno,5,0.04169432670676757,1537.9276619656498,999.6529802776722,538.2746816879776
ORD-202411-00011,26/11/2024,CLI-6755,Basico,Peru,Costa,Trujillo,Moda,Zapatillas,Tienda,Temporada baja,Primavera,1,0.11384609723834327,95.40673194699285,57.26587030388033,38.14086164311252
ORD-202504-00012,03/04/2025,CLI-5260,Estandar,Chile,Norte,Antofagasta,Electronica,Parlante,Tienda,Temporada baja,Otoño,1,0.09627142668512692,135.09807609596345,97.5946260356484,37.503450060315046
ORD-202403-00013,28/03/2024,CLI-9990,Estandar,Mexico,Centro,CDMX,Moda,Jeans,Tienda,Siempre activo,Otoño,2,0.0597673345036121,144.42,94.38092818867396,50.038398883345124
ORD-202501-00014,07/01/2025,CLI-7611,Basico,Chile,Centro,Valparaíso,Electronica,Audifonos,Online,Siempre activo,Verano,1,0.015534457702121363,119.02,88.2018500483186,30.819527871404404
ORD-202404-00015,09/04/2024,CLI-6781,Basico,Colombia,Andina,Medellín,Moda,Zapatillas,Tienda,Siempre activo,Otoño,1,0.020029813023204314,99.96198369221442,64.38385683401712,35.578126858197294
ORD-202510-00016,25/10/2025,CLI-4412,Premium,Peru,Sierra,Arequipa,Electronica,Parlante,Tienda,Siempre activo,Primavera,1,0.08088321667781122,164.50878078183226,110.97877029893442,53.530010482897836
ORD-202405-00017,10/05/2024,CLI-9625,Estandar,Chile,Sur,Concepción,Deportes,Cuerda,Online,Siempre activo,Otoño,1,0.07777016628508165,17.25,11.934445896762687,5.312373428032716
ORD-202510-00018,23/10/2025,CLI-6411,Estandar,Peru,Sierra,Arequipa,Moda,Jeans,Tienda,Siempre activo,Primavera,1,0.13,73.88576126667884,44.85859932180966,29.027161944869178
ORD-202411-00019,04/11/2024,CLI-6322,Estandar,Colombia,Andina,Medellín,Moda,Zapatillas,Online,Temporada baja,Primavera,2,0.11247510508858181,197.94178676351652,117.72132919232743,80.22045757118909
ORD-202412-00020,09/12/2024,CLI-5864,Estandar,Mexico,Occidente,Guadalajara,Hogar,Aspiradora,Tienda,Siempre activo,Verano,3,0.021026521014081225,662.6767458471194,428.08734594111536,234.58939990600402
ORD-202505-00021,06/05/2025,CLI-9502,Estandar,Chile,Norte,Antofagasta,Deportes,Cuerda,Online,Temporada baja,Otoño,1,0.055510467040527464,17.13229817610389,12.106933977107229,5.025364198996662
ORD-202502-00022,17/02/2025,CLI-7574,Estandar,Peru,Sierra,Arequipa,Moda,Zapatillas,Online,Black Friday,Verano,1,0.18770596268619402,106.08801373208763,61.09452904277696,44.99348468931067
ORD-202501-00023,20/01/2025,CLI-1556,Estandar,Colombia,Andina,Medellín,Electronica,Tablet,Online,Back to School,Verano,1,0.04211690672904308,375.07,259.2765922258103,115.7919561101748
ORD-202407-00024,10/07/2024,CLI-3261,Basico,Chile,Norte,Antofagasta,Moda,Zapatillas,Tienda,Siempre activo,Invierno,1,0.004985968616509476,81.37,52.825619051521315,28.542783563242224
ORD-202410-00025,03/10/2024,CLI-7849,Basico,Mexico,Occidente,Guadalajara,Moda,Chaqueta,Online,Siempre activo,Primavera,4,0.027594552230237452,493.8851163296063,299.52249816442827,194.36261816517805
ORD-202406-00026,09/06/2024,CLI-4262,Estandar,Chile,Norte,Antofagasta,Deportes,Mancuernas,Tienda,Black Friday,Invierno,3,0.24739199232583672,120.67,82.22861076166647,38.43926718042417
ORD-202504-00027,04/04/2025,CLI-5541,Estandar,Colombia,Andina,Medellín,Moda,Chaqueta,Online,Temporada baja,Otoño,1,0.06955093503046873,147.2504582862981,98.65780705181974,48.59265123447837
ORD-202411-00028,09/11/2024,CLI-9111,Premium,Chile,Centro,Valparaíso,Moda,Bolso,Online,Siempre activo,Primavera,2,0.04338749217505375,209.36488380319472,140.27447214814046,69.09041165505425
ORD-202401-00029,22/01/2024,CLI-7460,Premium,Peru,Sierra,Cusco,Moda,Chaqueta,Online,Black Friday,Verano,1,0.23433651037233144,146.45178857179144,89.35930220730472,57.09248636448672
ORD-202409-00030,09/09/2024,CLI-1801,Estandar,Chile,Centro,Valparaíso,Deportes,Bicicleta,Online,Siempre activo,Primavera,2,0.04665527638624664,1153.7343780834508,772.0244518603297,381.7099262231211
ORD-202507-00031,14/07/2025,CLI-4185,Basico,Peru,Costa,Lima,Electronica,Smartwatch,Online,Siempre activo,Invierno,2,0.03485841769438653,274.28,190.74938223556478,83.52648198851728
ORD-202504-00032,19/04/2025,CLI-5240,Estandar,Colombia,Andina,Medellín,Deportes,Bicicleta,Online,Back to School,Otoño,2,0.08297555269933182,1050.0139715066748,743.8850630773296,306.1289084293452
ORD-202402-00033,28/02/2024,CLI-7668,Estandar,Peru,Sierra,Cusco,Deportes,Mancuernas,Tienda,Temporada baja,Verano,2,0.08574990284148869,128.1675584618321,84.82435936923143,43.34319909260067
ORD-202505-00034,25/05/2025,CLI-1329,Estandar,Peru,Costa,Trujillo,Electronica,Audifonos,Online,Black Friday,Otoño,1,,102.11523903359537,67.39847041713647,34.71676861645891
ORD-202511-00035,12/11/2025,CLI-4175,Basico,Mexico,Norte,Monterrey,Moda,Zapatillas,Online,Siempre activo,Primavera,1,0.04728165319306218,80.1391803842503,51.55667386532963,28.582506518920667
ORD-202504-00036,20/04/2025,CLI-4758,Premium,Colombia,Pacífico,Cali,Deportes,Guantes,Online,Siempre activo,Otoño,2,0.07063798916154285,72.06207121665523,48.87889328848443,23.1831779281708
ORD-202511-00037,30/11/2025,CLI-1076,Estandar,Colombia,Caribe,Barranquilla,Electronica,Tablet,Online,Navidad,Primavera,3,0.15551962329590668,920.4827193246399,636.701768128067,283.7809511965729
ORD-202407-00038,08/07/2024,CLI-8310,Estandar,Colombia,Andina,Medellín,Electronica,Tablet,Online,Siempre activo,Invierno,1,,249.27978159410364,184.77345609576028,64.50632549834336
ORD-202511-00039,17/11/2025,CLI-6108,Premium,Peru,Sierra,Arequipa,Hogar,Cafetera,Tienda,Siempre activo,Primavera,2,0.0312006703601777,279.37342726466653,173.57032927609055,105.80309798857598
ORD-202507-00040,16/07/2025,CLI-1939,Estandar,Colombia,Andina,Medellín,Electronica,Tablet,Tienda,Temporada baja,Invierno,3,0.15220793301138758,684.6579633064684,459.992501614637,224.66546169183147
ORD-202507-00041,20/07/2025,CLI-6902,Basico,Chile,Norte,Antofagasta,Electronica,Audifonos,Online,Siempre activo,Invierno,1,0.04377973171229635,82.12534665771469,59.56168879856838,22.563657859146304
ORD-202408-00042,31/08/2024,CLI-3158,Basico,Peru,Costa,Trujillo,Moda,Chaqueta,Online,Siempre activo,Invierno,2,0.03358573583610633,228.59,134.30576262269355,94.28426916666731
ORD-202505-00043,19/05/2025,CLI-4621,Estandar,Peru,Costa,Lima,Hogar,Licuadora,Tienda,Siempre activo,Otoño,1,0.09849396373550107,96.31291997471973,63.60421454749206,32.70870542722767
ORD-202405-00044,10/05/2024,CLI-9459,Estandar,Chile,Centro,Santiago,Deportes,Bicicleta,Online,Siempre activo,Otoño,2,0.07274534925053792,931.1526300540813,664.1035567043018,267.0490733497795
ORD-202504-00045,29/04/2025,CLI-5616,Basico,Peru,Sierra,Arequipa,Hogar,Lampara,Online,Black Friday,Otoño,2,0.19581665880774654,91.59,61.323751800671566,30.267333645418738
ORD-202510-00046,08/10/2025,CLI-3402,Premium,Chile,Centro,Valparaíso,Moda,Bolso,Tienda,Temporada baja,Primavera,4,0.16054232148153463,410.27,248.8681962296686,161.40489243101698
ORD-202401-00047,21/01/2024,CLI-2426,Basico,Peru,Sierra,Arequipa,Hogar,Cafetera,Online,Navidad,Verano,1,0.13012089199040597,114.20426771261826,75.46146586425175,38.74280184836651
ORD-202406-00048,15/06/2024,CLI-5299,Estandar,Colombia,Caribe,Barranquilla,Moda,Bolso,Online,Siempre activo,Invierno,4,0.02738413658927116,294.90210059187314,192.79165148598398,102.11044910588916
ORD-202409-00049,30/09/2024,CLI-6939,Estandar,Colombia,Caribe,Barranquilla,Electronica,Smartwatch,Online,Siempre activo,Primavera,1,0.0,181.24395115421808,132.1466840763845,49.09726707783358
ORD-202501-00050,22/01/2025,CLI-3513,Premium,Peru,Sierra,Arequipa,Electronica,Tablet,Tienda,Siempre activo,Verano,2,0.09505112057131884,848.690562555168,574.0915550433788,274.5990075117892
ORD-202508-00051,23/08/2025,CLI-1179,Premium,Colombia,Andina,Bogotá,Hogar,Aspiradora,Online,Black Friday,Invierno,3,0.20473452915931736,512.8584035700188,355.58968921608727,157.26871435393156
ORD-202411-00052,11/11/2024,CLI-8012,Basico,Colombia,Andina,Bogotá,Electronica,Audifonos,Online,Siempre activo,Primavera,1,0.01361632780644681,113.38,82.18610859429867,31.19333478502645
ORD-202401-00053,14/01/2024,CLI-1148,Estandar,Chile,Centro,Valparaíso,Electronica,Audifonos,Online,Back to School,Verano,2,0.06296332113333016,253.55,173.36556894076307,80.18623541177064
ORD-202408-00054,29/08/2024,CLI-7576,Basico,Colombia,Pacífico,Cali,Electronica,Smartwatch,Tienda,Siempre activo,Invierno,1,0.03537099737135112,114.72817418509135,82.6980982966234,32.03007588846795
ORD-202412-00055,11/12/2024,CLI-6769,Basico,Peru,Costa,Trujillo,Deportes,Guantes,Tienda,Navidad,Verano,3,0.14149768019278955,89.88906211642887,59.13713575748015,30.751926358948722
ORD-202507-00056,18/07/2025,CLI-8939,Estandar,Peru,Sierra,Arequipa,Deportes,Guantes,Online,Black Friday,Invierno,1,0.21178800382764254,23.928821654887734,16.589130583327737,7.339691071559997
ORD-202412-00057,05/12/2024,CLI-2741,Premium,Colombia,Caribe,Barranquilla,Deportes,Guantes,Tienda,Siempre activo,Verano,3,0.051363281969966645,116.61,78.02740384872082,38.58158658466098
ORD-202404-00058,01/04/2024,CLI-9431,Estandar,Colombia,Andina,Bogotá,Electronica,Parlante,Online,Black Friday,Otoño,3,0.2118373995645266,322.572063141192,230.15996425049536,92.41209889069665
ORD-202501-00059,01/01/2025,CLI-3985,Basico,Peru,Costa,Trujillo,Deportes,Mancuernas,Online,Siempre activo,Verano,2,0.04214725129336717,111.92735600885204,70.51423428557679,41.41312172327525
ORD-202503-00060,30/03/2025,CLI-5997,Premium,Peru,Sierra,Cusco,Electronica,Audifonos,Tienda,Back to School,Otoño,2,0.0426277264929899,303.1497645875169,227.36232344063768,75.78744114687925
ORD-202503-00061,03/03/2025,CLI-3963,Basico,Peru,Costa,Lima,Deportes,Cuerda,Online,Siempre activo,Otoño,1,0.05840616623150583,15.581865393013056,10.754219048721394,4.8276463442916615
