order_item_id,order_id,order_date,customer_id,product_id,channel_id,quantity,unit_price,discount_pct,revenue,cost,profit,delivery_days,returned,rating
1,500000,2024-03-05,101566,2049,10,1,19.57,0.0,19.57,8.93,10.64,4,0,3.6
2,500000,2024-03-05,101566,2051,10,3,58.47,0.0,175.41,110.61,64.8,5,0,3.9
3,500000,2024-03-05,101566,2021,10,3,29.69,0.0,89.07,43.78,45.29,2,0,4.7
4,500001,2025-08-29,100443,2004,15,2,29.52,0.0,59.04,31.68,27.36,5,0,3.8
5,500001,2025-08-29,100443,2041,15,3,59.68,0.05,179.04,110.55,68.49,1,0,4.2
6,500002,2025-09-21,101229,2027,11,1,61.73,0.0,61.73,37.94,23.79,3,0,4.2
7,500002,2025-09-21,101229,2043,11,1,19.41,0.0,19.41,8.18,11.23,5,0,3.5
8,500002,2025-09-21,101229,2058,11,1,25.64,0.0,25.64,13.67,11.97,4,0,4.0
9,500003,2024-05-18,101838,2024,21,3,138.19,0.13,414.57,300.7,113.87,1,0,3.6
10,500003,2024-05-18,101838,2007,21,2,23.91,0.13,47.82,19.03,28.79,2,0,4.5
11,500004,2026-02-10,101446,2041,16,2,63.48,0.0,126.96,67.14,59.82,3,0,4.0
12,500004,2026-02-10,101446,2003,16,3,42.41,0.0,127.23,52.89,74.34,3,0,4.2
13,500004,2026-02-10,101446,2006,16,3,28.73,0.0,86.19,52.34,33.85,5,0,4.0
14,500005,2024-08-04,100539,2002,19,3,86.43,0.0,259.29,140.61,118.68,5,0,3.6
15,500006,2024-11-04,101476,2054,15,1,64.04,0.1,64.04,35.9,28.14,8,0,3.6
16,500006,2024-11-04,101476,2013,15,1,94.56,0.0,94.56,62.33,32.23,4,1,2.3
17,500007,2024-05-31,101766,2058,10,2,25.94,0.0,51.88,31.3,20.58,5,0,4.6
18,500007,2024-05-31,101766,2038,10,3,65.2,0.0,195.6,112.5,83.1,3,0,4.0
19,500008,2024-04-28,101778,2058,17,3,24.58,0.05,73.74,41.12,32.62,4,0,4.1
20,500009,2024-07-20,101478,2023,17,1,159.99,0.05,159.99,132.73,27.26,5,0,3.8
21,500009,2024-07-20,101478,2045,17,3,92.2,0.1,276.6,175.93,100.67,1,0,4.4
22,500010,2024-04-16,101464,2025,12,3,80.83,0.0,242.49,156.68,85.81,5,0,4.4
23,500011,2025-08-01,101569,2039,18,3,207.83,0.05,623.49,387.6,235.89,4,0,4.6
24,500011,2025-08-01,101569,2017,18,1,258.14,0.1,258.14,202.93,55.21,4,0,3.9
25,500011,2025-08-01,101569,2043,18,2,18.59,0.05,37.18,15.0,22.18,3,0,4.0
26,500012,2025-04-17,101472,2034,12,3,56.47,0.0,169.41,90.51,78.9,4,0,4.1
27,500012,2025-04-17,101472,2041,12,1,63.1,0.0,63.1,32.81,30.29,3,0,3.9
28,500012,2025-04-17,101472,2043,12,2,19.33,0.0,38.66,17.54,21.12,1,0,4.0
29,500013,2024-11-04,100267,2043,18,1,17.02,0.1,17.02,8.13,8.89,7,0,4.0
30,500013,2024-11-04,100267,2049,18,1,19.26,0.0,19.26,7.48,11.78,3,0,4.1
31,500013,2024-11-04,100267,2057,18,1,20.21,0.05,20.21,9.75,10.46,2,0,4.5
32,500014,2025-03-08,101608,2057,18,1,19.98,0.05,19.98,8.85,11.13,4,0,4.1
33,500014,2025-03-08,101608,2059,18,2,4.5,0.1,9.0,3.86,5.14,3,0,4.2
34,500014,2025-03-08,101608,2013,18,3,90.05,0.0,270.15,154.69,115.46,5,0,3.2
35,500015,2025-04-22,100359,2010,11,1,27.99,0.0,27.99,13.2,14.79,5,1,3.1
36,500015,2025-04-22,100359,2013,11,2,90.36,0.0,180.72,115.32,65.4,4,0,4.0
37,500015,2025-04-22,100359,2004,11,2,29.53,0.0,59.06,31.49,27.57,6,0,3.9
38,500016,2024-05-25,101112,2013,13,1,88.22,0.0,88.22,67.52,20.7,4,0,4.5
39,500016,2024-05-25,101112,2003,13,1,42.29,0.0,42.29,19.88,22.41,7,0,3.8
40,500017,2024-08-22,100678,2046,11,3,91.04,0.03,273.12,183.48,89.64,2,0,3.9
41,500017,2024-08-22,100678,2007,11,1,26.35,0.03,26.35,12.21,14.14,5,0,2.9
42,500017,2024-08-22,100678,2000,11,2,123.15,0.03,246.3,178.37,67.93,2,0,4.0
43,500018,2025-11-27,100426,2015,18,3,58.24,0.05,174.72,102.65,72.07,4,0,3.7
44,500018,2025-11-27,100426,2026,18,3,26.17,0.0,78.51,39.38,39.13,2,0,4.6
45,500019,2024-01-10,100563,2026,12,3,24.35,0.03,73.05,36.74,36.31,2,0,4.4
46,500019,2024-01-10,100563,2020,12,2,43.46,0.03,86.92,52.65,34.27,4,0,3.3
47,500019,2024-01-10,100563,2019,12,3,277.15,0.03,831.45,585.24,246.21,5,0,3.6
48,500020,2026-01-25,100169,2025,17,2,73.42,0.13,146.84,124.43,22.41,4,0,4.0
49,500020,2026-01-25,100169,2039,17,3,215.76,0.08,647.28,447.52,199.76,6,0,4.2
50,500020,2026-01-25,100169,2020,17,1,40.62,0.03,40.62,23.28,17.34,6,0,3.5
51,500021,2026-01-31,100879,2023,15,1,164.56,0.05,164.56,113.79,50.77,4,0,5.0
52,500021,2026-01-31,100879,2004,15,2,27.73,0.05,55.46,37.25,18.21,4,0,3.2
53,500022,2024-07-19,100838,2046,10,2,89.81,0.0,179.62,102.02,77.6,1,0,4.9
54,500023,2024-09-10,100806,2010,20,1,24.36,0.15,24.36,13.62,10.74,2,0,4.1
55,500024,2024-06-12,100183,2006,18,3,28.37,0.0,85.11,56.93,28.18,2,0,4.1
56,500024,2024-06-12,100183,2053,18,2,40.29,0.0,80.58,47.58,33.0,5,0,4.6
57,500025,2025-03-18,101213,2046,13,2,87.75,0.0,175.5,109.02,66.48,2,0,3.8
58,500026,2024-06-17,100338,2013,20,1,83.04,0.1,83.04,49.01,34.03,6,0,2.6
59,500026,2024-06-17,100338,2017,20,2,260.29,0.1,520.58,360.26,160.32,6,0,4.2
60,500026,2024-06-17,100338,2025,20,3,84.27,0.0,252.81,180.69,72.12,7,0,5.0
61,500027,2025-09-16,101711,2002,18,1,77.74,0.1,77.74,43.09,34.65,1,1,3.5
62,500028,2024-11-02,100047,2022,19,1,160.87,0.0,160.87,117.94,42.93,4,0,4.6
63,500028,2024-11-02,100047,2036,19,3,95.48,0.0,286.44,173.86,112.58,6,0,4.4
64,500028,2024-11-02,100047,2021,19,3,29.69,0.0,89.07,52.69,36.38,7,0,4.7
65,500029,2026-02-03,100110,2020,12,3,43.97,0.03,131.91,73.57,58.34,3,0,3.7
66,500029,2026-02-03,100110,2056,12,3,21.75,0.03,65.25,29.14,36.11,4,0,3.3
67,500030,2025-11-05,100600,2043,10,2,19.89,0.0,39.78,19.75,20.03,3,0,4.7
68,500030,2025-11-05,100600,2041,10,1,63.55,0.0,63.55,38.22,25.33,2,1,4.0
69,500031,2024-11-13,100815,2000,10,2,128.23,0.0,256.46,189.99,66.47,5,0,3.9
70,500031,2024-11-13,100815,2043,10,2,18.59,0.0,37.18,17.79,19.39,2,0,4.5
71,500031,2024-11-13,100815,2056,10,2,22.69,0.0,45.38,25.67,19.71,3,0,3.8
72,500032,2025-04-15,101939,2036,16,1,89.0,0.0,89.0,49.44,39.56,4,0,4.5
73,500032,2025-04-15,101939,2020,16,2,45.61,0.0,91.22,48.54,42.68,6,0,3.0
74,500033,2024-01-20,101050,2001,19,2,47.87,0.0,95.74,66.27,29.47,4,0,4.0
75,500034,2024-02-23,100757,2012,20,2,83.29,0.15,166.58,88.12,78.46,6,0,3.7
76,500034,2024-02-23,100757,2056,20,2,21.95,0.05,43.9,23.36,20.54,6,0,3.2
77,500035,2025-02-03,101675,2043,21,1,16.75,0.1,16.75,9.43,7.32,3,0,4.1
78,500035,2025-02-03,101675,2030,21,2,56.61,0.0,113.22,56.98,56.24,6,0,3.8
