id_venta,fecha_venta,id_cliente,id_propiedad,ciudad,precio_venta,tipo_propiedad,canal_venta,porcentaje_comision,monto_comision
SALE000001,2022-02-08,CUST00348,PROP00545,Medellín,368761.0,House,Broker,0.0495,18263.0
SALE000002,2022-08-09,CUST00356,PROP00796,Cartagena,244126.0,House,Broker,0.0492,12012.0
SALE000003,2023-02-10,CUST00087,PROP00678,Medellín,347815.0,Apartment,Broker,0.0511,17762.0
SALE000004,2024-03-11,CUST00486,PROP00691,Bogotá,146769.0,Apartment,Digital,0.0322,4733.0
SALE000005,2022-03-23,CUST00496,PROP00081,Cali,690200.0,Commercial,Digital,0.034,23439.0
SALE000006,2024-06-01,CUST00073,PROP00019,Bogotá,307096.0,Apartment,Broker,0.0477,14658.0
SALE000007,2022-12-16,CUST00110,PROP00769,Bogotá,283547.0,Apartment,Referral,0.0413,11713.0
SALE000008,2022-05-18,CUST00124,PROP00202,Cartagena,531594.0,Commercial,Direct,0.0269,14280.0
SALE000009,2024-08-03,CUST00484,PROP00342,Cartagena,609719.0,House,Broker,0.0517,31552.0
SALE000010,2022-04-05,CUST00467,PROP00035,Cartagena,200128.0,Apartment,Broker,0.0499,9992.0
SALE000011,2022-05-22,CUST00133,PROP00499,Cali,478248.0,Office,Broker,0.0489,23391.0
SALE000012,2024-11-05,CUST00316,PROP00657,Cartagena,286207.0,House,Broker,0.0526,15061.0
SALE000013,2023-07-23,CUST00122,PROP00674,Cali,261482.0,Apartment,Referral,0.038,9936.0
SALE000014,2023-05-23,CUST00020,PROP00466,Barranquilla,332776.0,Commercial,Digital,0.0271,9012.0
SALE000015,2024-01-23,CUST00116,PROP00530,Bucaramanga,274641.0,Land,Broker,0.0505,13858.0
SALE000016,2023-11-22,CUST00039,PROP00411,Bogotá,722326.0,Commercial,Digital,0.0277,19991.0
SALE000017,2023-11-03,CUST00424,PROP00357,Barranquilla,248251.0,House,Broker,0.0453,11254.0
SALE000018,2022-01-26,CUST00393,PROP00444,Medellín,211160.0,Apartment,Digital,0.0255,5388.0
