customer_id,country,city,segment,signup_date,last_activity_date,device_os,plan_type,monthly_fee_usd,orders_90d,avg_order_value_usd,total_spend_90d_usd,support_tickets_90d,satisfaction_score,coupon_used,preferred_category,churned,age,monthly_fee_raw,last_activity_raw
C000001,México,CDMX,Retail,2024-08-23,2025-08-07,macOS,Basic,30.76,4,24.42,97.69,1,4.0,yes,Moda,0,27.0,30.76,2025-08-07
C000002,Argentina,Mendoza,SMB,2025-06-22,2025-12-26,iOS,Pro,65.8,6,26.2,157.18,2,4.3,yes,Moda,0,26.0,65.8,2025-12-26
C000003,Colombia,Medellín,Retail,2024-09-02,2024-12-02,Android,Plus,49.18,2,22.13,44.25,0,4.2,yes,Alimentos,1,27.0,49.18,2024-12-02
C000004,Colombia,Barranquilla,SMB,2025-11-01,2025-12-28,Linux,Basic,15.66,7,30.46,213.23,0,3.4,no,Hogar,0,45.0,15.66,2025-12-28
C000005,Colombia,Bogotá,Retail,2024-12-29,2025-09-20,Windows,Plus,,4,38.71,154.85,0,4.1,yes,Belleza,0,45.0,,2025-09-20
C000006,Perú,Trujillo,SMB,2025-09-01,2026-07-17,Windows,Plus,45.53,11,14.2,156.2,0,4.5,no,Juguetes,0,28.0,45.53,2026-07-17
C000007,Perú,Arequipa,Retail,2025-01-03,2025-02-18,Android,Basic,23.89,1,26.91,26.91,1,3.7,no,Electrónica,1,37.0,23.89,2025-02-18
C000008,México,CDMX,Enterprise,2025-11-03,2026-04-19,iOS,Plus,50.65,16,24.33,389.2,0,4.8,no,Hogar,0,,50.65,2026-04-19
C000009,Colombia,Bogotá,Retail,2025-08-31,2025-11-19,Android,Plus,47.07,4,55.16,220.63,1,3.4,no,Hogar,0,44.0,47.07,2025-11-19
C000010,Argentina,Córdoba,Retail,2025-11-26,2025-12-17,Android,Basic,36.58,3,62.71,188.13,1,4.1,no,Deportes,1,46.0,36.58,2025-12-17
C000011,Argentina,Buenos Aires,SMB,2024-04-17,2024-06-12,iOS,Basic,26.66,3,29.25,87.74,0,3.8,no,Deportes,1,42.0,26.66,2024-06-12
C000012,México,Monterrey,SMB,2025-04-26,2025-12-07,iOS,Basic,25.96,3,16.41,49.23,0,3.5,no,Electrónica,0,33.0,25.96,2025-12-07
C000013,México,Monterrey,Retail,2024-02-01,2024-06-27,iOS,Basic,21.27,4,52.8,211.19,2,5.0,no,Electrónica,1,33.0,21.27,2024-06-27
C000014,Chile,La Serena,Retail,2025-08-31,2026-04-14,iOS,Basic,24.11,3,26.23,78.69,1,4.0,yes,Moda,0,37.0,24.11,2026-04-14
C000015,Perú,Lima,Retail,2025-06-21,2026-06-11,iOS,Basic,27.93,3,21.01,63.04,0,4.0,no,Electrónica,0,40.0,27.93,2026-06-11
C000016,Chile,Santiago,SMB,2025-03-02,2025-05-02,Android,Basic,20.8,6,37.65,225.89,1,4.2,no,Electrónica,1,40.0,20.8,2025-05-02
C000017,México,CDMX,Retail,2024-09-18,2025-09-26,Android,Plus,44.36,1,13.78,13.78,0,4.5,yes,Deportes,0,28.0,44.36,2025-09-26
C000018,México,CDMX,Retail,2024-03-18,2024-11-10,Android,Pro,70.29,2,67.58,135.15,1,3.7,no,Electrónica,1,47.0,70.29,2024-11-10
