customer_id,signup_date,segment,age_group,region,country,city
100000,2023-07-23,Básico,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100001,2024-05-21,Premium,18-24,Caribe,Costa Rica,San José
100002,2023-03-01,Premium,18-24,Cono Sur,Argentina,Córdoba
100003,2025-02-14,Básico,18-24,Centroamérica,Honduras,San Pedro Sula
100004,2025-05-23,Básico,55+,Andina,Ecuador,Guayaquil
100005,2023-11-18,Básico,25-34,Cono Sur,Paraguay,Asunción
100006,2024-02-09,Plus,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100007,2023-10-01,Plus,55+,Cono Sur,Uruguay,Montevideo
100008,2024-03-25,Básico,35-44,Andina,Colombia,Cali
100009,2023-11-11,Básico,35-44,Caribe,República Dominicana,Santo Domingo
100010,2023-10-13,Básico,35-44,Caribe,Panamá,Ciudad de Panamá
100011,2024-05-11,Premium,25-34,Cono Sur,Paraguay,Asunción
100012,2025-09-19,Premium,35-44,Centroamérica,El Salvador,San Salvador
100013,2025-05-30,Básico,55+,Cono Sur,Uruguay,Montevideo
100014,2023-12-10,Plus,45-54,Caribe,República Dominicana,Santo Domingo
100015,2025-12-24,Básico,25-34,Andina,Colombia,Medellín
100016,2023-08-31,Plus,25-34,Pacífica,Chile,Valparaíso
100017,2025-11-17,Premium,45-54,Andina,Colombia,Bogotá
100018,2023-12-24,Básico,18-24,Cono Sur,Argentina,Buenos Aires
100019,2024-09-16,Básico,45-54,Pacífica,México,Guadalajara
100020,2023-08-23,Plus,25-34,Centroamérica,Guatemala,Ciudad de Guatemala
100021,2025-05-30,Básico,35-44,Caribe,República Dominicana,Santiago
100022,2024-01-02,Plus,45-54,Cono Sur,Uruguay,Montevideo
100023,2025-10-04,Básico,25-34,Cono Sur,Argentina,Córdoba
100024,2023-04-06,Premium,25-34,Centroamérica,Honduras,San Pedro Sula
100025,2024-08-02,Básico,45-54,Andina,Colombia,Cali
100026,2023-07-03,Básico,25-34,Pacífica,Chile,Santiago
100027,2025-10-23,Básico,25-34,Andina,Perú,Lima
100028,2024-04-26,Básico,35-44,Andina,Ecuador,Quito
100029,2025-02-18,Básico,25-34,Centroamérica,Honduras,San Pedro Sula
100030,2025-10-12,Plus,35-44,Centroamérica,Honduras,San Pedro Sula
100031,2024-09-10,Básico,18-24,Cono Sur,Uruguay,Montevideo
100032,2023-03-08,Básico,25-34,Caribe,República Dominicana,Santo Domingo
100033,2023-09-12,Básico,45-54,Caribe,República Dominicana,Santo Domingo
100034,2023-09-03,Básico,18-24,Pacífica,Chile,Santiago
100035,2025-11-21,Premium,25-34,Andina,Colombia,Barranquilla
100036,2025-11-15,Premium,35-44,Andina,Ecuador,Quito
100037,2024-07-04,Básico,45-54,Pacífica,México,Monterrey
100038,2025-10-24,Plus,35-44,Andina,Colombia,Medellín
100039,2023-10-12,Plus,45-54,Centroamérica,Honduras,San Pedro Sula
100040,2025-02-23,Premium,25-34,Caribe,República Dominicana,Santiago
100041,2024-03-28,Básico,25-34,Cono Sur,Uruguay,Montevideo
100042,2023-10-05,Básico,55+,Centroamérica,El Salvador,San Salvador
100043,2023-10-16,Básico,45-54,Caribe,República Dominicana,Santo Domingo
100044,2024-04-29,Premium,35-44,Cono Sur,Uruguay,Montevideo
100045,2024-01-28,Plus,25-34,Cono Sur,Argentina,Rosario
100046,2023-09-01,Básico,25-34,Caribe,Panamá,Ciudad de Panamá
100047,2024-01-21,Básico,18-24,Caribe,República Dominicana,Santiago
100048,2023-05-29,Plus,45-54,Centroamérica,Honduras,San Pedro Sula
100049,2026-01-24,Premium,45-54,Andina,Perú,Cusco
100050,2024-03-14,Básico,25-34,Andina,Colombia,Bogotá
100051,2023-05-05,Plus,25-34,Andina,Perú,Lima
100052,2024-10-27,Básico,25-34,Cono Sur,Paraguay,Asunción
100053,2025-10-17,Básico,18-24,Centroamérica,El Salvador,San Salvador
100054,2024-02-20,Básico,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100055,2025-09-03,Plus,35-44,Cono Sur,Uruguay,Montevideo
100056,2024-12-06,Premium,25-34,Caribe,Costa Rica,San José
100057,2025-05-03,Básico,35-44,Pacífica,México,Guadalajara
100058,2023-12-09,Básico,55+,Andina,Colombia,Medellín
100059,2023-02-12,Básico,18-24,Andina,Perú,Arequipa
100060,2024-02-04,Básico,25-34,Centroamérica,Guatemala,Ciudad de Guatemala
100061,2025-12-03,Básico,25-34,Pacífica,Chile,Santiago
100062,2025-07-02,Básico,18-24,Pacífica,México,Guadalajara
100063,2025-06-24,Básico,35-44,Centroamérica,Honduras,Tegucigalpa
100064,2025-10-11,Básico,35-44,Pacífica,México,Guadalajara
100065,2024-03-07,Básico,18-24,Pacífica,Chile,Valparaíso
100066,2024-01-07,Plus,18-24,Pacífica,México,Guadalajara
100067,2025-12-04,Básico,45-54,Caribe,Panamá,Ciudad de Panamá
100068,2024-10-22,Plus,25-34,Andina,Ecuador,Quito
100069,2023-12-11,Premium,35-44,Caribe,República Dominicana,Santo Domingo
100070,2023-11-18,Plus,35-44,Andina,Colombia,Cali
100071,2025-10-10,Básico,45-54,Caribe,Costa Rica,San José
100072,2023-03-03,Básico,35-44,Cono Sur,Paraguay,Asunción
100073,2023-03-13,Plus,45-54,Andina,Ecuador,Quito
100074,2025-05-02,Básico,35-44,Andina,Colombia,Medellín
100075,2023-01-02,Básico,25-34,Caribe,República Dominicana,Santo Domingo
100076,2023-07-17,Básico,25-34,Caribe,Costa Rica,San José
100077,2026-02-18,Básico,25-34,Centroamérica,Honduras,Tegucigalpa
100078,2024-05-06,Básico,25-34,Pacífica,Chile,Santiago
100079,2025-04-20,Plus,18-24,Cono Sur,Paraguay,Asunción
100080,2024-07-16,Básico,25-34,Centroamérica,El Salvador,San Salvador
100081,2023-04-15,Básico,25-34,Caribe,República Dominicana,Santo Domingo
100082,2023-08-02,Plus,18-24,Cono Sur,Paraguay,Asunción
100083,2025-05-29,Básico,25-34,Andina,Ecuador,Guayaquil
100084,2023-04-20,Plus,45-54,Andina,Perú,Cusco
100085,2024-11-17,Básico,35-44,Andina,Perú,Lima
100086,2024-02-06,Básico,45-54,Centroamérica,Guatemala,Ciudad de Guatemala
100087,2024-03-03,Premium,35-44,Pacífica,México,Guadalajara
100088,2026-01-04,Básico,45-54,Andina,Ecuador,Guayaquil
100089,2024-11-30,Básico,45-54,Pacífica,México,Guadalajara
100090,2024-12-11,Premium,18-24,Andina,Ecuador,Quito
100091,2024-02-09,Plus,55+,Centroamérica,Guatemala,Ciudad de Guatemala
100092,2024-03-16,Plus,18-24,Caribe,Panamá,Ciudad de Panamá
100093,2025-03-03,Básico,35-44,Caribe,Panamá,Ciudad de Panamá
100094,2023-02-14,Básico,45-54,Caribe,Costa Rica,San José
100095,2023-10-02,Plus,25-34,Pacífica,México,Monterrey
100096,2024-11-24,Básico,35-44,Caribe,Panamá,Ciudad de Panamá
100097,2024-12-21,Básico,25-34,Andina,Colombia,Medellín
100098,2023-04-17,Plus,18-24,Andina,Ecuador,Quito
