id_venta,id_cliente,id_propiedad,fecha_venta,canal_venta,estado_venta,precio_venta,comision_pct,comision_usd,descuento_pct,precio_m2,probabilidad_cierre,fecha_primera_compra,cohorte_cliente
SALE000001,CUST00281,PROP00345,2023-02-02,Broker,Cerrada,529604.0,0.05,26480.2,0.1619,9131.1,1.0,2022-01-11,2022-01
SALE000002,CUST00460,PROP00681,2022-10-15,Broker,Cerrada,273059.0,0.05,13652.95,0.1529,1500.32,1.0,2022-10-15,2022-10
SALE000003,CUST00133,PROP00437,2022-04-21,Digital,Cerrada,407510.0,0.03,12225.3,0.0977,1913.19,1.0,2022-04-21,2022-04
SALE000004,CUST00197,PROP00284,2024-10-31,Digital,Cerrada,415492.0,0.03,12464.76,0.1625,2130.73,1.0,2022-06-25,2022-06
SALE000005,CUST00625,PROP00594,2022-06-02,Referral,Cerrada,427479.0,0.04,17099.16,0.1611,1242.67,1.0,2022-06-02,2022-06
SALE000006,CUST00180,PROP00114,2022-10-18,Digital,Cancelada,747907.0,0.03,22437.21,0.1433,1968.18,0.0,2022-02-28,2022-02
SALE000007,CUST00468,PROP00607,2024-01-31,Digital,Cerrada,262202.0,0.03,7866.06,0.0637,4947.21,1.0,2022-01-31,2022-01
SALE000008,CUST00605,PROP00807,2024-02-23,Referral,Cerrada,323520.0,0.04,12940.8,0.1213,366.39,1.0,2023-06-04,2023-06
SALE000009,CUST00386,PROP00639,2022-06-25,Digital,Cerrada,140311.0,0.03,4209.33,0.1058,727.0,1.0,2022-06-25,2022-06
SALE000010,CUST00194,PROP00391,2024-06-08,Broker,Cerrada,349562.0,0.05,17478.1,0.1663,2240.78,1.0,2022-04-12,2022-04
SALE000011,CUST00552,PROP00741,2023-07-15,Broker,Cerrada,130077.0,0.05,6503.85,0.1659,890.94,1.0,2022-01-31,2022-01
SALE000012,CUST00538,PROP00479,2024-07-20,Broker,Cerrada,388820.0,0.05,19441.0,0.1128,1555.28,1.0,2024-05-13,2024-05
SALE000013,CUST00354,PROP00487,2022-04-05,Digital,Cerrada,770250.0,0.03,23107.5,0.1772,2500.81,1.0,2022-04-05,2022-04
SALE000014,CUST00075,PROP00767,2022-02-22,Broker,En negociación,144022.0,0.05,7201.1,0.1041,1895.03,0.37,2022-01-29,2022-01
SALE000015,CUST00287,PROP00174,2023-11-27,Digital,Cerrada,291543.0,0.03,8746.29,0.1253,1022.96,1.0,2023-07-03,2023-07
SALE000016,CUST00281,PROP00702,2022-06-12,Broker,Cerrada,334771.0,0.05,16738.55,0.0864,1708.02,1.0,2022-01-11,2022-01
SALE000017,CUST00124,PROP00612,2023-08-02,Referral,Cerrada,243379.0,0.04,9735.16,0.1189,1337.25,1.0,2022-07-20,2022-07
SALE000018,CUST00262,PROP00477,2022-01-18,Broker,Cerrada,279071.0,0.05,13953.55,0.0611,1251.44,1.0,2022-01-18,2022-01
SALE000019,CUST00100,PROP00070,2024-04-28,Digital,Cerrada,198929.0,0.03,5967.87,0.1779,1143.27,1.0,2022-02-14,2022-02
SALE000020,CUST00451,PROP00690,2024-09-21,Broker,Cerrada,588811.0,0.05,29440.55,0.0652,2309.06,1.0,2022-05-13,2022-05
SALE000021,CUST00281,PROP00198,2024-07-09,Broker,Cerrada,319200.0,0.05,15960.0,0.1532,1934.55,1.0,2022-01-11,2022-01
SALE000022,CUST00475,PROP00806,2024-11-16,Broker,Cancelada,312905.0,0.05,15645.25,0.1982,2203.56,0.0,2022-06-07,2022-06
SALE000023,CUST00297,PROP00713,2024-09-25,Digital,Cerrada,406691.0,0.03,12200.73,0.097,1745.45,1.0,2023-02-12,2023-02
SALE000024,CUST00464,PROP00328,2023-04-26,Referral,Cerrada,223154.0,0.04,8926.16,0.1441,832.66,1.0,2023-04-26,2023-04
SALE000025,CUST00477,PROP00392,2023-03-16,Broker,Cerrada,138942.0,0.05,6947.1,0.1375,586.25,1.0,2023-03-16,2023-03
SALE000026,CUST00105,PROP00023,2024-09-17,Referral,Cerrada,474647.0,0.04,18985.88,0.0516,1135.52,1.0,2022-08-23,2022-08
SALE000027,CUST00288,PROP00449,2024-10-18,Digital,Cerrada,876992.0,0.03,26309.76,0.0646,2470.4,1.0,2022-10-06,2022-10
SALE000028,CUST00488,PROP00053,2024-11-29,Digital,Cerrada,323633.0,0.03,9708.99,0.0961,4903.53,1.0,2022-08-20,2022-08
SALE000029,CUST00386,PROP00889,2024-04-18,Digital,En negociación,719091.0,0.03,21572.73,0.0398,1839.11,0.6,2022-06-25,2022-06
SALE000030,CUST00145,PROP00577,2022-08-14,Broker,Cerrada,253395.0,0.05,12669.75,0.1298,856.06,1.0,2022-03-03,2022-03
SALE000031,CUST00542,PROP00212,2024-11-04,Referral,Cerrada,215017.0,0.04,8600.68,0.1737,1187.94,1.0,2022-07-19,2022-07
SALE000032,CUST00130,PROP00724,2024-11-06,Referral,Cerrada,685696.0,0.04,27427.84,0.0489,3666.82,1.0,2022-09-05,2022-09
SALE000033,CUST00646,PROP00018,2024-01-01,Referral,Cerrada,198750.0,0.04,7950.0,0.1446,1219.33,1.0,2022-08-02,2022-08
SALE000034,CUST00460,PROP00495,2024-07-31,Broker,Cancelada,307992.0,0.05,15399.6,0.1747,3079.92,0.0,2022-10-15,2022-10
SALE000035,CUST00210,PROP00101,2023-09-15,Digital,Cerrada,593455.0,0.03,17803.65,0.1735,3663.3,1.0,2022-11-05,2022-11
SALE000036,CUST00127,PROP00050,2024-11-03,Broker,Cancelada,612777.0,0.05,30638.85,0.1611,1337.94,0.0,2023-03-24,2023-03
SALE000037,CUST00587,PROP00221,2022-04-11,Digital,Cerrada,348402.0,0.03,10452.06,0.1433,7110.24,1.0,2022-04-11,2022-04
